uid,bid,rating
1147,288,2
36,1130,5
1147,353,4
1641,777,4
1057,98,2
70,311,4
1057,842,2
36,1197,3
318,55,4
1147,151,2
1708,286,3
1746,420,3
686,975,1
1057,293,3
1202,1048,4
667,900,3
851,320,1
1057,463,4
1114,810,5
1368,99,1
1641,821,3
1661,1064,2
1708,862,3
1746,254,4
667,25,2
686,1185,2
1070,848,2
1412,1068,3
1746,353,4
35,40,4
851,526,3
1057,34,2
1263,64,1
1350,1021,1
1708,1183,2
1746,652,5
667,23,2
686,946,2
1070,767,2
1114,1140,1
1740,995,2
181,32,2
994,1079,3
1114,875,4
1263,904,5
1368,6,1
1746,575,4
1368,958,4
1661,1239,5
1708,280,2
70,217,4
318,161,5
851,373,2
994,1168,2
1463,1207,2
1708,829,1
1740,462,2
1746,420,5
1856,988,1
35,1209,3
36,1072,3
682,1026,4
901,531,3
1103,1046,1
1368,3,1
1412,1172,3
1641,699,4
628,828,1
686,778,5
851,375,1
994,1168,1
1114,640,5
1412,245,2
1641,750,4
1746,395,4
175,677,2
318,697,5
901,500,1
1070,878,1
1147,385,5
1674,677,3
36,1092,3
175,934,5
396,735,3
967,1156,1
994,1168,1
1147,1153,5
1309,72,2
1350,1020,5
1993,797,5
175,717,1
181,60,3
284,1108,4
318,144,3
396,32,2
560,1257,1
682,188,1
706,790,5
851,249,2
1070,866,2
1263,39,1
1309,31,2
1412,1198,5
1635,73,5
1674,964,2
1740,485,4
1856,1000,5
202,1254,3
284,1246,1
907,343,4
1114,108,5
1147,693,3
1263,782,5
1412,1082,4
1422,619,4
1661,426,3
1809,129,1
36,1209,4
851,15,4
994,1168,3
1202,551,5
1255,136,2
1435,863,1
1444,663,3
1501,577,3
1659,513,1
36,1235,2
70,570,4
80,266,2
560,1080,5
686,993,3
972,107,2
1147,265,4
1263,120,1
1659,583,2
1809,1068,5
1815,559,2
1856,941,1
70,710,3
181,161,3
256,587,3
667,696,5
1070,682,1
1350,81,1
1368,790,1
1412,1094,4
1422,481,3
1635,45,1
1659,484,4
1661,1198,3
35,1137,4
595,227,5
938,150,3
967,1099,1
994,1168,3
1101,574,1
1368,974,5
1635,194,1
70,814,3
80,934,4
175,447,1
560,987,1
667,820,3
1202,493,5
1255,759,3
1501,137,4
1635,105,5
80,141,2
256,466,2
1412,1189,3
1422,382,4
1446,77,4
1463,478,3
1587,205,1
1641,843,1
1708,237,2
1746,420,5
1767,1143,4
36,1072,3
80,329,2
175,943,5
967,1099,1
1070,684,1
1204,384,3
1263,42,1
1412,1056,5
1501,106,3
1587,321,5
1635,111,5
1809,117,1
1815,548,2
1993,1195,1
175,11,4
202,1235,1
207,56,5
318,414,3
560,1214,4
667,412,3
851,248,1
1103,598,5
1114,746,5
1169,508,3
1263,39,1
1309,45,3
1350,149,1
1422,196,4
1463,222,2
1688,101,3
36,1072,4
396,14,4
478,1176,1
901,1050,4
1057,477,1
1103,1067,4
1255,137,2
1263,117,4
1435,798,3
1446,539,5
1463,347,1
1661,1158,4
1674,1080,3
1809,868,5
35,526,4
80,1001,4
175,797,1
202,860,5
297,1192,2
706,45,4
891,1009,5
1070,682,3
1114,695,5
1169,579,3
1368,787,1
1435,824,2
1589,430,5
1641,876,4
1740,362,4
1856,519,2
1993,1200,1
70,800,5
207,689,2
396,34,4
560,786,1
600,521,5
615,72,4
779,892,5
851,1249,2
994,1168,2
1169,949,2
1309,146,2
1422,331,3
1619,654,1
1708,537,1
1993,236,5
183,5,2
202,153,3
396,130,4
478,379,3
560,1134,2
615,949,2
667,848,4
851,487,3
907,763,5
1066,84,1
1103,593,3
1255,792,3
1309,84,2
1446,941,3
1463,402,2
1587,915,1
1661,408,3
1856,946,2
175,1003,4
183,953,2
202,422,2
284,1118,3
297,82,3
560,594,1
615,124,1
682,78,1
796,365,5
938,631,1
994,1168,3
1103,249,4
1147,1237,4
1202,204,5
1446,738,5
1635,101,2
1708,269,4
1746,426,2
1856,92,4
80,29,1
297,152,5
531,208,5
595,613,5
615,72,2
682,168,2
706,1025,3
779,808,5
1066,23,1
1070,884,3
1204,487,3
1505,1040,3
1740,555,3
0,488,4
600,718,5
796,577,3
938,578,2
994,1168,3
1057,980,3
1101,354,1
1154,375,3
1202,779,3
1407,1158,4
1422,498,4
1446,109,5
1501,986,3
1775,96,1
1938,270,3
183,803,4
318,69,3
396,892,3
474,459,5
478,529,5
628,846,4
706,973,2
1057,763,3
1114,835,5
1589,247,5
1619,312,3
1641,882,1
1674,1062,4
1993,20,1
36,1188,3
175,943,5
474,1042,1
615,46,5
667,684,3
796,639,5
994,1168,3
1057,144,3
1070,881,1
1101,344,1
1169,460,2
1249,243,1
1368,1189,5
1422,469,5
1444,629,4
1463,470,1
1505,80,2
1740,594,3
1746,217,3
1856,1005,4
1993,505,5
57,873,2
175,548,2
600,429,5
628,890,1
907,809,5
994,1168,2
1101,282,1
1103,1062,4
1114,280,5
1204,492,1
1368,934,5
1619,368,4
1708,571,3
1746,364,5
1767,199,3
1993,910,5
36,1152,4
207,820,1
422,971,2
560,1184,1
595,416,5
600,436,5
817,577,1
907,1122,4
972,377,4
1057,707,3
1066,326,1
1263,51,4
1368,1004,4
1407,474,3
1422,536,1
1674,327,1
1740,798,2
1775,1032,1
1993,1108,5
14,966,4
35,1101,4
70,784,3
297,970,3
595,613,5
686,74,4
779,1129,1
856,84,3
972,937,4
1103,197,5
1114,677,5
1435,1236,3
1587,196,1
1635,106,1
1708,674,1
1815,394,3
1993,1035,1
0,1222,3
35,1254,4
36,1072,5
57,367,4
207,402,1
212,146,3
514,876,5
615,90,4
628,806,5
686,80,3
856,1009,4
891,108,1
1101,302,1
1204,556,2
1263,157,5
1708,195,2
1740,214,5
1779,822,1
1938,585,4
0,589,1
35,176,3
85,899,5
202,855,3
251,59,4
682,764,2
851,1242,1
938,754,2
1740,589,3
1779,868,5
1993,510,5
183,60,4
251,947,1
256,575,3
297,56,2
514,266,1
600,292,5
620,1046,4
706,986,4
779,922,1
817,785,1
938,9,3
972,934,4
994,1168,3
1101,19,2
1435,1225,3
1587,456,5
1635,105,1
14,995,3
202,1056,4
212,1085,1
251,94,1
560,651,2
667,754,3
796,419,5
907,955,3
967,1156,1
1070,885,2
1114,731,5
1147,113,2
1422,458,5
1435,606,1
1444,585,3
1446,693,4
1463,840,3
1896,134,5
0,1138,3
70,862,3
80,956,2
251,45,2
396,138,3
478,1175,5
682,835,3
856,112,2
891,1018,1
994,1212,2
998,930,5
1147,562,5
1263,47,1
1377,1069,4
1619,1260,3
1659,315,5
1661,451,3
1746,340,4
1775,980,2
1809,858,3
1815,90,5
70,813,3
175,55,3
207,358,1
284,1246,2
389,686,1
560,212,1
1435,581,1
1456,1229,3
1993,167,5
14,995,5
36,1100,3
181,959,3
207,1201,1
318,175,4
474,1219,4
615,19,2
667,873,5
779,503,5
796,1214,1
972,807,3
1066,663,5
1147,905,2
1202,39,4
1249,524,1
1263,670,5
1309,51,1
1350,1217,5
1377,448,2
1407,1096,3
1412,1068,5
1435,943,3
1446,150,4
1589,536,5
1619,1248,3
1659,230,1
1993,842,4
235,835,2
251,65,3
560,1196,5
667,598,2
796,222,4
851,448,2
891,993,4
998,75,5
1071,804,5
1154,412,2
1169,1120,3
1255,859,3
1377,1069,3
1407,1031,5
1435,610,2
1451,775,3
1463,200,1
1606,408,3
1659,480,2
1746,420,3
1815,926,2
1856,948,5
1938,1045,2
14,1023,4
181,36,2
422,984,5
474,447,1
664,872,1
667,726,4
706,1026,3
779,412,5
856,318,3
1103,1208,4
1169,307,3
1309,174,1
1463,765,3
1606,221,4
1661,1008,3
1740,508,3
1775,964,2
1856,959,1
1869,830,3
1896,995,1
0,1126,4
36,1197,3
85,935,5
212,1218,3
318,34,1
396,150,4
600,311,5
615,183,5
667,839,2
682,89,2
817,885,2
901,330,5
938,167,4
1070,778,2
1255,1147,4
1309,90,2
1377,1114,5
1446,932,2
1587,1068,5
1606,340,2
1661,790,5
1815,319,4
1938,554,3
35,1075,3
36,1055,3
70,1115,1
284,1114,4
297,3,2
422,914,5
478,364,3
600,265,4
994,1208,2
1066,251,1
1169,187,4
1263,687,5
1309,62,1
1407,1037,5
1587,324,5
1619,466,3
1688,942,3
1815,372,2
175,995,3
183,948,2
251,51,2
256,493,3
381,234,4
514,951,5
779,959,1
891,982,5
938,805,2
953,123,3
1057,174,2
1202,213,4
1350,66,1
1501,961,3
1694,1241,5
235,762,2
284,1140,3
474,496,4
514,171,1
620,1023,4
628,689,4
938,1061,3
953,918,2
1103,611,4
1255,706,4
1350,1224,5
1363,826,1
1422,438,5
1451,94,5
1661,1242,2
1767,1163,5
1896,920,4
35,1212,4
85,739,5
251,956,4
353,312,3
396,1011,2
422,23,2
478,1255,2
664,978,3
706,1008,3
891,923,3
901,874,2
1057,106,3
1103,1045,2
1114,763,5
1407,1153,4
1446,374,3
1501,973,5
1505,624,3
1661,1235,1
1938,349,2
212,585,3
223,854,1
389,413,1
422,125,5
478,409,5
531,385,1
901,1229,4
1350,677,5
1377,1151,5
1501,683,3
1641,898,2
1674,1161,3
1694,1198,4
1746,420,5
1775,5,4
1809,131,1
1856,964,3
35,1160,3
175,719,2
181,169,2
223,801,1
235,745,3
531,1076,5
628,156,3
938,874,2
1071,117,1
1101,1212,1
1114,1069,1
1204,571,3
1368,936,5
1446,85,3
1452,931,5
1694,1012,3
35,1234,5
251,2,3
254,1062,5
284,1072,4
297,117,3
381,428,3
443,1135,4
474,515,3
796,533,2
891,981,2
1249,428,1
1350,180,1
1619,558,1
1659,504,4
1775,78,1
1779,803,4
1856,990,1
0,549,2
14,995,4
50,128,2
183,1002,2
202,1190,2
256,514,2
297,752,5
389,904,1
443,1133,5
595,613,5
615,79,2
856,63,2
972,836,3
1147,1188,4
1309,176,2
1412,1117,5
1446,688,2
1501,556,4
1594,436,1
1740,501,4
1746,420,5
1896,930,1
223,877,1
353,428,3
595,304,5
664,24,4
907,75,2
953,856,3
967,1099,1
998,187,5
1062,25,5
1070,782,2
1094,1254,3
1101,666,1
1147,130,3
1204,543,2
1350,71,1
1368,1040,5
1435,53,4
1452,930,1
1505,1096,3
1589,227,5
1606,465,2
1641,684,4
1688,729,4
1708,1013,1
1746,305,4
1779,7,1
1828,127,2
1856,978,5
35,1226,4
175,997,5
251,192,2
254,1032,3
297,91,2
389,494,2
531,135,2
620,164,5
628,806,3
682,22,5
796,414,5
901,450,1
972,995,2
1114,1180,1
1154,1100,3
1202,432,2
1309,72,2
1444,1082,3
1451,672,3
1456,1155,3
1501,1013,2
1594,616,1
1746,420,5
1869,39,2
14,1020,5
50,161,2
318,50,3
600,462,5
682,23,3
907,996,3
972,1019,4
994,1168,1
1071,810,2
1094,1249,3
1103,483,5
1202,267,4
1350,932,5
1363,829,1
1422,545,4
1501,960,5
1589,724,5
1896,1009,4
14,995,4
207,851,1
235,903,2
251,14,1
353,530,3
571,693,4
706,986,3
817,1002,1
867,1117,5
953,1008,3
994,1168,2
998,48,1
1071,810,1
1101,393,1
1103,272,2
1422,311,3
1435,0,1
1438,1254,5
1505,585,3
1594,288,2
1606,510,1
1740,617,3
1843,55,1
71,1208,5
181,933,1
254,1069,2
256,544,4
278,990,2
560,1095,1
600,539,5
779,654,5
817,1257,1
967,1248,1
994,1138,2
998,845,5
1070,842,2
1147,997,3
1204,352,3
1409,926,3
1452,990,5
1501,99,4
1587,327,4
1594,295,5
1661,910,2
1674,519,3
1775,33,3
1896,948,5
1913,1015,1
1938,551,2
0,1193,3
35,1214,5
50,161,3
57,150,2
208,8,5
381,334,4
389,986,3
422,23,3
478,290,1
571,927,2
595,241,5
664,125,4
779,788,5
907,1029,4
938,763,1
967,1099,1
1062,1015,1
1103,423,2
1147,1094,5
1309,127,2
1368,163,1
1452,815,5
1587,798,5
1594,416,2
1606,641,4
1619,1039,2
1630,108,2
1635,127,1
1775,116,5
1809,909,3
1815,281,4
1869,157,2
1897,26,5
14,1009,4
