uid,bid,rating
901,1076,4
994,1168,3
1708,548,2
994,1168,3
901,531,2
1412,1068,4
1809,24,2
318,781,4
994,1168,3
1070,839,1
1263,929,5
1350,1139,5
1309,53,3
1740,106,4
1641,844,3
851,1183,2
1815,781,3
1057,121,3
1070,789,2
1740,580,5
1746,554,4
901,1016,4
1202,866,5
396,1065,3
1463,6,5
682,39,2
1103,395,3
1444,431,1
1746,340,3
667,842,3
1635,96,5
80,4,3
628,879,3
686,985,4
1070,63,2
1740,670,4
1057,180,3
1635,52,5
35,98,4
686,1146,2
994,1168,2
1435,153,2
1446,119,3
175,920,4
1255,119,2
1422,203,3
1463,204,2
1661,1246,2
202,1116,3
318,1099,2
1993,189,1
70,883,4
560,618,1
1635,130,5
706,174,3
1066,798,1
1255,836,2
212,1025,1
891,1114,2
297,69,4
595,481,5
1249,665,1
1309,31,2
1938,302,3
256,413,1
595,253,5
686,974,3
1249,640,1
175,1000,5
531,386,5
706,1013,3
1070,767,3
1446,937,3
1635,99,5
531,1213,5
36,1177,3
851,436,4
183,66,3
396,952,2
851,414,3
1309,51,3
1688,846,1
181,772,3
396,993,2
1746,420,5
35,1057,4
667,674,2
1147,152,4
1446,935,3
1463,204,2
1708,210,2
1815,535,3
1856,959,5
35,1124,2
817,957,1
1202,775,3
1412,1245,4
1501,983,5
1688,506,3
1938,563,1
0,1048,3
202,595,3
474,297,2
817,37,5
1066,557,2
1444,360,1
1587,874,5
1661,1219,1
284,1127,1
396,135,2
901,488,1
851,405,1
1606,255,3
1896,293,5
14,151,5
560,1070,1
667,674,3
998,813,5
36,1072,5
57,924,4
1501,538,5
1938,564,3
1255,1181,3
1412,1128,4
1661,357,4
1740,266,4
70,149,1
284,1231,2
478,1128,2
938,609,1
994,1132,3
1309,65,1
1368,955,5
1407,1176,5
1412,513,2
1688,771,3
1775,156,3
1202,142,4
1249,622,2
1856,1014,1
595,198,5
667,815,2
686,1022,4
1412,1112,4
1619,1053,2
1635,78,1
1746,420,4
628,859,1
682,20,2
1071,688,4
35,1095,4
318,758,2
478,609,1
1412,1122,4
1674,581,3
1688,663,5
1740,197,4
443,1128,5
891,959,5
994,1168,4
1057,106,2
1070,839,1
1767,549,4
70,438,4
175,748,2
251,62,3
1363,824,1
1444,803,2
202,1208,1
856,765,2
1114,586,5
1202,9,4
1363,880,2
1606,651,4
1635,78,1
1661,1169,4
57,629,1
202,1253,4
422,971,2
595,613,5
907,715,3
1062,126,5
1103,1228,4
1154,1246,3
1779,66,4
1993,6,5
664,933,2
1062,899,5
1505,883,1
1587,837,1
1694,836,4
1708,469,1
1856,974,3
181,137,2
667,913,4
817,115,5
851,333,2
967,282,5
972,131,1
994,1168,3
1452,1018,1
0,1136,4
175,892,5
1422,405,2
1463,397,1
1589,449,5
1659,375,2
1815,430,3
1993,133,5
70,17,5
443,1063,3
891,945,1
1066,229,1
1103,817,1
1147,1201,1
1249,549,1
1444,378,4
1463,242,3
1767,535,4
202,1068,5
212,60,3
1057,624,1
1103,287,4
1255,908,3
1407,293,1
1501,836,4
1505,35,1
1767,1100,3
80,257,4
85,1171,1
207,962,5
600,694,5
796,537,4
1451,191,5
36,1101,5
181,118,2
254,1223,4
478,537,2
514,768,1
531,244,5
779,20,1
817,919,2
901,317,4
1066,659,5
1740,452,3
1767,354,4
1790,600,1
381,522,2
474,520,1
595,343,5
1062,778,5
1168,192,1
1263,777,4
1407,329,2
1409,965,3
1505,811,5
1659,574,2
85,550,5
251,95,1
389,776,3
396,1019,3
851,196,2
1114,327,5
1368,172,2
1659,328,5
1767,1164,3
262,991,5
295,392,4
907,1120,4
1589,390,4
1675,692,4
1688,905,5
1938,869,2
35,67,2
50,192,1
57,29,3
207,948,1
1249,426,1
1350,253,1
1438,356,2
254,1182,4
413,575,2
514,1002,5
620,936,2
1168,343,3
1204,658,4
1344,830,5
1422,366,2
1444,560,4
1501,727,3
202,1084,2
295,551,5
686,911,5
706,992,3
867,1237,4
953,81,4
972,1260,3
1147,78,1
1263,109,5
1767,1231,2
1828,1192,1
50,192,4
600,771,5
1501,241,5
1594,583,2
1659,562,5
1675,511,5
1708,262,1
183,999,2
212,989,3
278,981,2
297,565,3
600,263,5
867,1210,4
1147,779,4
1574,1021,2
1740,657,4
318,168,3
483,561,5
514,108,5
560,1148,5
682,97,2
972,321,5
1169,185,4
1740,585,5
1815,306,4
14,954,5
183,672,2
571,565,3
595,343,5
994,1168,3
998,118,5
1694,850,1
1746,427,5
1775,86,2
1435,616,3
1619,660,3
171,1010,4
223,675,1
251,713,1
531,1209,5
901,332,1
967,1099,1
1263,889,5
1309,136,2
1363,1004,1
1422,562,3
1435,534,1
1501,875,5
1688,804,4
1740,502,5
1812,258,1
1828,402,4
1913,848,1
223,767,1
353,1203,5
413,206,3
779,34,5
1169,444,2
1363,104,5
1993,243,5
35,1182,3
994,1162,3
1147,749,3
1641,738,3
1688,638,2
1746,432,4
71,1119,2
235,616,2
254,1042,3
256,350,4
389,719,2
1168,1013,4
1350,994,1
1368,35,1
1869,27,1
1959,842,4
35,1073,4
36,1072,4
181,36,2
297,883,3
318,911,2
443,1130,5
483,1104,1
600,1121,5
972,298,5
1350,990,1
171,952,5
181,41,2
600,775,5
1147,414,4
1202,796,2
1215,256,1
1375,703,2
1451,896,4
1630,920,1
1959,1023,5
1993,950,5
223,821,1
396,753,2
595,227,5
851,219,2
1019,902,4
1071,172,5
1263,39,5
1368,165,1
1412,1129,4
1422,454,4
1438,99,4
1446,174,3
1463,426,3
254,1206,5
474,603,5
867,1020,4
1147,907,4
1630,971,1
1675,1129,1
295,519,4
1114,902,5
1169,340,2
1263,882,1
1589,564,5
0,1050,3
14,995,3
57,735,1
71,1148,1
318,702,3
571,59,4
867,152,1
972,357,5
994,1168,2
1094,1154,1
1169,803,4
297,466,4
856,193,5
1066,116,1
1114,798,5
1452,1006,5
1456,1037,4
1694,7,1
1746,343,3
1938,578,3
0,1218,2
165,1191,3
175,947,3
422,154,4
514,342,5
686,967,3
779,1062,1
1069,707,1
1154,1144,4
1767,279,5
13,1258,4
36,1251,4
297,27,3
430,303,2
615,90,4
620,875,3
706,986,1
891,147,5
998,413,5
1767,371,5
1779,720,3
1959,117,1
223,850,1
278,963,3
756,226,2
942,787,3
1169,332,5
1317,115,4
1422,637,2
1451,60,3
1456,1039,1
1630,85,1
71,1212,3
478,664,5
756,1252,3
856,984,4
1019,878,4
1070,874,3
1170,289,4
1215,508,2
1444,1220,2
1501,755,5
1601,1015,4
1699,1000,1
1708,359,1
1746,420,4
1828,32,3
35,1187,3
85,417,5
208,135,5
284,1211,4
295,875,3
344,1160,4
686,94,3
756,650,4
789,722,1
822,1124,3
1154,1252,5
1165,929,1
1422,279,3
1867,3,2
181,22,3
254,1069,5
287,1018,5
413,529,5
620,932,5
664,847,2
779,822,4
1070,813,2
1154,660,1
1168,871,5
1170,956,2
1674,1092,2
1812,613,5
1913,724,1
167,522,1
223,865,1
447,1161,4
556,525,3
774,928,5
994,1168,4
1062,316,5
1094,1207,2
1344,306,3
1463,468,4
1519,893,1
1574,848,1
1587,575,5
1828,496,2
1993,1249,3
70,321,5
202,1223,4
891,939,2
998,890,4
1019,695,5
1069,796,1
1165,924,1
1350,924,5
1446,996,2
1501,932,5
